customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5342-C993,Female,0,Yes,Yes,29,No,No phone service,No,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,72.9017487278631,2120.067929121694,Yes
7932-A652,Male,0,Yes,Yes,71,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,85.68136955487701,6094.994384416563,No
4295-C419,Female,1,No,No,2,No,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),20.191499555201215,28.210980838579857,Yes
7537-C765,Female,0,No,No,13,No,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),68.70226875217492,895.6865731010471,No
7118-B629,Female,0,Yes,Yes,59,No,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Two year,No,Mailed check,77.37493082274936,4566.004322059208,No
8397-A353,Female,0,No,Yes,44,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,52.75701533481322,2322.385729244813,Yes
4681-A446,Male,0,Yes,Yes,33,No,No phone service,No,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),85.42070527233852,2824.441733314626,No
1344-C667,Female,0,Yes,Yes,44,No,Yes,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,41.18186057148169,1813.4750901547602,Yes
4770-C325,Male,1,Yes,No,60,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),50.14591947327889,2996.8605776617387,No
1117-A824,Female,1,No,Yes,15,Yes,No,No,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),115.00691241614476,1731.2362267320252,No
1964-A169,Female,0,No,No,65,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,Month-to-month,No,Mailed check,53.23107227154458,3468.428540447703,No
1514-B172,Female,1,Yes,Yes,39,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),53.07333918025738,2083.0550177363025,No
9423-A385,Male,0,Yes,No,16,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),78.11590390022309,1263.4909908427453,No
8953-A652,Female,0,Yes,Yes,33,Yes,No,No,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),115.83302065093605,3827.2540121494635,No
3167-C684,Male,0,Yes,Yes,15,No,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,One year,Yes,Electronic check,117.04958481827654,1744.3154011931758,No
8744-A903,Female,1,Yes,No,59,Yes,No phone service,DSL,No,No internet service,No,Yes,No internet service,Yes,Two year,No,Mailed check,76.50562534946977,4498.53805727657,No
8749-B294,Male,0,No,Yes,65,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,18.35924549039572,1191.0800208113214,Yes
2545-A774,Female,0,Yes,Yes,65,Yes,No phone service,DSL,No internet service,No,No,Yes,Yes,No,Two year,No,Mailed check,108.76598335222417,7078.983627639841,No
8062-B533,Male,0,No,Yes,12,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,One year,No,Electronic check,75.55891543999334,915.2573359618958,No
7735-B984,Male,0,Yes,No,55,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,55.03263903313855,3029.535139445252,No
1887-C769,Female,0,No,Yes,30,Yes,Yes,No,No,No internet service,No,Yes,Yes,No internet service,Two year,No,Credit card (automatic),101.5841116721018,3047.157757775142,No
2612-A512,Male,0,No,Yes,33,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,58.43316216469561,1947.331703676952,Yes
6559-A354,Female,0,No,No,38,Yes,No,No,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,21.6714728731266,829.2562879376221,Yes
4139-A649,Female,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,100.76775841723038,6649.799324768276,No
8350-A532,Female,0,No,No,7,Yes,No,No,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Electronic check,73.10886980248611,505.30767838073916,No
4006-B573,Female,0,No,Yes,54,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),52.23342559153171,2810.5189287656203,Yes
5092-A553,Female,0,Yes,Yes,26,No,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),43.46468382356204,1119.0111392667116,Yes
2604-A767,Female,0,No,Yes,52,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),77.92664467125027,4042.1005886768407,No
9856-A195,Female,1,Yes,No,38,Yes,Yes,No,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),39.158979596622565,1490.8507458042452,No
4872-A516,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),50.79701409897883,3250.8282057293363,No
8956-B318,Female,0,No,Yes,16,Yes,No,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,Yes,Mailed check,82.22129609610535,1312.281589914781,No
7570-A268,Female,0,Yes,No,29,No,No phone service,No,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,106.84521726579617,3105.876080059108,Yes
7209-A499,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,71.80547800335567,3751.97660551622,Yes
5345-B392,Male,0,Yes,No,12,No,No phone service,No,Yes,No,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,94.5401930290588,1126.2488469858256,No
7930-C848,Male,0,Yes,No,20,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,94.9375906781857,1892.0089531315282,No
8973-A294,Female,0,Yes,No,18,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,85.01757224226837,1508.145776443696,Yes
5861-A159,Female,0,Yes,Yes,52,No,No phone service,No,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.95675293689202,2233.487844363688,Yes
9883-A865,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,105.36225411409931,1895.24436836952,No
6138-A151,Female,0,No,Yes,56,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Two year,No,Mailed check,62.09570339177643,3486.287292391624,No
8811-C973,Female,0,Yes,Yes,24,No,No,No,Yes,No,No internet service,No,No,No,One year,No,Bank transfer (automatic),22.693179765537906,543.7681871333033,No
9701-A158,Female,0,No,No,30,No,Yes,DSL,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),42.833573341987275,1279.1261072816633,No
9320-A971,Female,0,No,No,54,Yes,No phone service,No,Yes,No,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,95.18760958698124,5142.057775120038,No
4044-A709,Female,0,Yes,No,22,No,Yes,No,Yes,No internet service,No,No,Yes,No internet service,Two year,No,Electronic check,25.197900249657682,559.9244890838855,No
2113-C982,Male,0,No,Yes,31,No,No,No,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.060122416568575,,No
4853-B222,Female,0,Yes,No,61,No,No,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),88.0197950121913,5379.27640565099,No
5033-C708,Male,0,Yes,No,9,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),107.95637936761783,984.6704421757116,No
1651-C183,Female,0,No,No,71,No,Yes,No,No,No,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,81.9400665082925,5823.219273498567,No
7868-C697,Female,0,No,No,53,No,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),40.590250909870235,2141.9377476203035,No
9565-B367,Male,1,No,No,51,No,No,No,No,Yes,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,23.618083206579634,1201.2619781507422,No
4346-C833,Female,1,Yes,Yes,19,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,One year,No,Credit card (automatic),80.07022154630633,1533.1629543370427,Yes
6147-A371,Male,0,Yes,Yes,31,Yes,No phone service,No,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),23.01355708208198,703.6380610079974,Yes
7484-A787,Female,0,No,Yes,13,No,No phone service,DSL,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,No,Electronic check,79.82856622014657,1044.0577979395573,No
5915-B423,Female,0,No,No,49,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),40.92078438819006,2004.610714928581,No
2188-A569,Male,0,No,No,27,No,Yes,No,Yes,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,109.16793427208738,2949.136157841429,No
2638-A650,Female,0,No,No,52,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,65.99681318297988,3423.4765707417055,No
4492-C371,Male,0,Yes,Yes,23,Yes,No phone service,No,No,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),40.755812547624416,940.6903314463831,No
3170-B170,Female,0,No,No,21,No,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),103.99110431413845,2186.403947968051,Yes
5002-B391,Male,0,Yes,No,29,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),43.78055754397459,1254.5425828695968,No
3584-B953,Male,0,Yes,No,62,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,49.06320719074999,3041.8744068809956,No
9900-C409,Female,0,No,Yes,3,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,102.09492885507329,312.4237581360196,No
9666-A783,Female,0,No,No,58,No,No phone service,No,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,49.28359899495989,2854.5959092047096,No
5905-C206,Male,0,No,Yes,7,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),59.471458807679056,391.82290614270926,Yes
3200-B218,Female,0,Yes,No,11,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,53.19039991126609,583.9462317749477,Yes
2753-C666,Female,0,No,Yes,30,No,No,No,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.948231941952773,913.1116375900364,No
3546-B388,Female,0,No,Yes,33,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),22.159029130806026,727.8032664219903,Yes
4450-C451,Male,1,Yes,Yes,48,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),91.06633774312863,4385.470722498746,Yes
4335-C749,Male,0,No,No,56,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),83.08628095553992,4644.708157947125,Yes
5325-C600,Male,0,Yes,No,25,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),46.627789788981744,1154.0850382672738,No
5114-A194,Male,0,No,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Electronic check,47.957712060980285,815.230078658439,No
7939-B145,Male,0,Yes,Yes,37,No,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,113.22308119237248,4181.0282204404275,Yes
1058-B889,Male,0,No,No,49,No,Yes,No,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,117.51094828696596,5761.335043439938,No
3143-C368,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,65.8302077749862,457.08574588224974,Yes
3647-C552,Male,0,Yes,Yes,40,Yes,No,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.89640042089012,3970.595187288163,No
8007-C109,Male,0,Yes,No,5,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),92.28693052487122,457.01797791218314,Yes
2832-A807,Female,0,No,No,68,No,No phone service,DSL,No internet service,No,No,No internet service,Yes,Yes,One year,Yes,Electronic check,48.130429805960716,3273.766596406848,No
3442-C136,Male,0,Yes,No,43,No,No phone service,No,No,No,No,No,No,No internet service,One year,No,Mailed check,24.135552407308076,1043.7921107986838,No
7049-C665,Female,0,Yes,No,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),32.57690384206147,2061.908102444453,No
3426-B230,Female,0,Yes,Yes,28,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,One year,No,Credit card (automatic),102.49855875857672,2884.75607219957,No
1685-B473,Female,0,Yes,No,27,No,No,No,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),91.73698890962625,2474.5500678834987,No
1653-B315,Male,1,No,No,10,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,85.01565186845893,846.1634376932085,No
5088-C205,Male,0,No,Yes,64,No,Yes,No,Yes,No internet service,No internet service,No,No internet service,No,Two year,Yes,Credit card (automatic),31.380207585513155,1989.1941184808786,No
6794-C995,Male,0,Yes,Yes,18,No,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),82.56303408877774,1506.5517285121475,No
7658-C867,Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.8513093150581,770.420115492798,Yes
3532-A985,Female,0,Yes,No,26,No,No,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,One year,No,Credit card (automatic),104.74047586095921,2730.7704530426618,No
3662-A522,Male,0,Yes,No,33,Yes,Yes,No,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),19.57974355895863,651.688826194761,No
1406-A854,Male,0,No,No,43,Yes,No phone service,No,No,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),87.03974773878701,3743.204501596602,No
6442-B921,Male,0,No,Yes,67,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.169314388122043,1354.8475898092106,Yes
5065-B263,Male,0,Yes,Yes,14,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.29072097711557,1244.4734691877754,Yes
2771-B993,Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,82.12994715556648,4103.476371270929,No
1634-B327,Female,0,Yes,No,12,Yes,Yes,No,No internet service,No,No,No,Yes,Yes,Two year,No,Electronic check,33.158960223356736,388.40546467665206,No
